"Block1","dist","agent","persona"
20,"integrated","agent_3","persona_2"
20,"integrated","agent_4","persona_2"
20,"memory_only","agent_1","persona_2"
20,"document_only","agent_1","persona_3"
20,"integrated","agent_3","persona_3"
20,"integrated","agent_4","persona_3"
20,"memory_only","agent_1","persona_3"
21,"document_only","agent_1","persona_1"
21,"document_only","agent_3","persona_1"
21,"memory_only","agent_1","persona_1"
21,"memory_only","agent_2","persona_1"
21,"document_only","agent_1","persona_2"
21,"document_only","agent_3","persona_2"
21,"memory_only","agent_1","persona_2"
21,"memory_only","agent_2","persona_2"
21,"document_only","agent_1","persona_3"
21,"document_only","agent_3","persona_3"
21,"memory_only","agent_1","persona_3"
21,"memory_only","agent_2","persona_3"
22,"document_only","agent_4","persona_1"
22,"integrated","agent_1","persona_1"
22,"integrated","agent_2","persona_1"
22,"memory_only","agent_2","persona_1"
22,"document_only","agent_4","persona_2"
22,"integrated","agent_1","persona_2"
22,"integrated","agent_2","persona_2"
22,"memory_only","agent_2","persona_2"
22,"document_only","agent_4","persona_3"
22,"integrated","agent_1","persona_3"
22,"integrated","agent_2","persona_3"
22,"memory_only","agent_2","persona_3"
23,"document_only","agent_1","persona_1"
23,"document_only","agent_3","persona_1"
23,"memory_only","agent_1","persona_1"
23,"memory_only","agent_2","persona_1"
23,"document_only","agent_1","persona_2"
23,"document_only","agent_3","persona_2"
23,"memory_only","agent_1","persona_2"
23,"memory_only","agent_2","persona_2"
23,"document_only","agent_1","persona_3"
23,"document_only","agent_3","persona_3"
23,"memory_only","agent_1","persona_3"
23,"memory_only","agent_2","persona_3"
24,"document_only","agent_1","persona_1"
24,"document_only","agent_2","persona_1"
24,"integrated","agent_1","persona_1"
24,"memory_only","agent_3","persona_1"
24,"document_only","agent_1","persona_2"
24,"document_only","agent_2","persona_2"
24,"integrated","agent_1","persona_2"
24,"memory_only","agent_3","persona_2"
24,"document_only","agent_1","persona_3"
24,"document_only","agent_2","persona_3"
24,"integrated","agent_1","persona_3"
24,"memory_only","agent_3","persona_3"
25,"integrated","agent_4","persona_1"
25,"memory_only","agent_1","persona_1"
25,"memory_only","agent_2","persona_1"
25,"memory_only","agent_3","persona_1"
25,"integrated","agent_4","persona_2"
25,"memory_only","agent_1","persona_2"
25,"memory_only","agent_2","persona_2"
25,"memory_only","agent_3","persona_2"
25,"integrated","agent_4","persona_3"
25,"memory_only","agent_1","persona_3"
25,"memory_only","agent_2","persona_3"
25,"memory_only","agent_3","persona_3"
26,"document_only","agent_1","persona_1"
26,"document_only","agent_3","persona_1"
26,"document_only","agent_4","persona_1"
26,"memory_only","agent_1","persona_1"
26,"document_only","agent_1","persona_2"
26,"document_only","agent_3","persona_2"
26,"document_only","agent_4","persona_2"
26,"memory_only","agent_1","persona_2"
26,"document_only","agent_1","persona_3"
26,"document_only","agent_3","persona_3"
26,"document_only","agent_4","persona_3"
26,"memory_only","agent_1","persona_3"
27,"document_only","agent_4","persona_1"
27,"integrated","agent_4","persona_1"
27,"memory_only","agent_1","persona_1"
27,"memory_only","agent_2","persona_1"
27,"document_only","agent_4","persona_2"
27,"integrated","agent_4","persona_2"
27,"memory_only","agent_1","persona_2"
27,"memory_only","agent_2","persona_2"
27,"document_only","agent_4","persona_3"
27,"integrated","agent_4","persona_3"
27,"memory_only","agent_1","persona_3"
27,"memory_only","agent_2","persona_3"
28,"document_only","agent_1","persona_1"
28,"document_only","agent_4","persona_1"
28,"integrated","agent_1","persona_1"
28,"integrated","agent_2","persona_1"
28,"document_only","agent_1","persona_2"
28,"document_only","agent_4","persona_2"
28,"integrated","agent_1","persona_2"
28,"integrated","agent_2","persona_2"
28,"document_only","agent_1","persona_3"
28,"document_only","agent_4","persona_3"
28,"integrated","agent_1","persona_3"
28,"integrated","agent_2","persona_3"
29,"document_only","agent_3","persona_1"
29,"integrated","agent_3","persona_1"
29,"integrated","agent_4","persona_1"
29,"memory_only","agent_2","persona_1"
29,"document_only","agent_3","persona_2"
29,"integrated","agent_3","persona_2"
29,"integrated","agent_4","persona_2"
29,"memory_only","agent_2","persona_2"
29,"document_only","agent_3","persona_3"
29,"integrated","agent_3","persona_3"
29,"integrated","agent_4","persona_3"
29,"memory_only","agent_2","persona_3"
30,"integrated","agent_2","persona_1"
30,"memory_only","agent_2","persona_1"
30,"memory_only","agent_3","persona_1"
30,"memory_only","agent_4","persona_1"
30,"integrated","agent_2","persona_2"
30,"memory_only","agent_2","persona_2"
30,"memory_only","agent_3","persona_2"
30,"memory_only","agent_4","persona_2"
30,"integrated","agent_2","persona_3"
30,"memory_only","agent_2","persona_3"
30,"memory_only","agent_3","persona_3"
30,"memory_only","agent_4","persona_3"
31,"document_only","agent_2","persona_1"
31,"document_only","agent_4","persona_1"
31,"integrated","agent_4","persona_1"
31,"memory_only","agent_4","persona_1"
31,"document_only","agent_2","persona_2"
31,"document_only","agent_4","persona_2"
31,"integrated","agent_4","persona_2"
31,"memory_only","agent_4","persona_2"
31,"document_only","agent_2","persona_3"
31,"document_only","agent_4","persona_3"
31,"integrated","agent_4","persona_3"
31,"memory_only","agent_4","persona_3"
32,"document_only","agent_4","persona_1"
32,"integrated","agent_2","persona_1"
32,"memory_only","agent_2","persona_1"
32,"memory_only","agent_3","persona_1"
32,"document_only","agent_4","persona_2"
32,"integrated","agent_2","persona_2"
32,"memory_only","agent_2","persona_2"
32,"memory_only","agent_3","persona_2"
32,"document_only","agent_4","persona_3"
32,"integrated","agent_2","persona_3"
32,"memory_only","agent_2","persona_3"
32,"memory_only","agent_3","persona_3"
33,"integrated","agent_1","persona_1"
33,"integrated","agent_4","persona_1"
33,"memory_only","agent_2","persona_1"
33,"memory_only","agent_4","persona_1"
33,"integrated","agent_1","persona_2"
33,"integrated","agent_4","persona_2"
33,"memory_only","agent_2","persona_2"
33,"memory_only","agent_4","persona_2"
33,"integrated","agent_1","persona_3"
33,"integrated","agent_4","persona_3"
33,"memory_only","agent_2","persona_3"
33,"memory_only","agent_4","persona_3"
34,"document_only","agent_2","persona_1"
34,"integrated","agent_1","persona_1"
34,"integrated","agent_3","persona_1"
34,"memory_only","agent_4","persona_1"
34,"document_only","agent_2","persona_2"
34,"integrated","agent_1","persona_2"
34,"integrated","agent_3","persona_2"
34,"memory_only","agent_4","persona_2"
34,"document_only","agent_2","persona_3"
34,"integrated","agent_1","persona_3"
34,"integrated","agent_3","persona_3"
34,"memory_only","agent_4","persona_3"
35,"document_only","agent_4","persona_1"
35,"integrated","agent_4","persona_1"
35,"memory_only","agent_3","persona_1"
35,"memory_only","agent_4","persona_1"
35,"document_only","agent_4","persona_2"
35,"integrated","agent_4","persona_2"
35,"memory_only","agent_3","persona_2"
35,"memory_only","agent_4","persona_2"
35,"document_only","agent_4","persona_3"
35,"integrated","agent_4","persona_3"
35,"memory_only","agent_3","persona_3"
35,"memory_only","agent_4","persona_3"
36,"document_only","agent_1","persona_1"
36,"document_only","agent_3","persona_1"
36,"integrated","agent_4","persona_1"
36,"memory_only","agent_1","persona_1"
36,"document_only","agent_1","persona_2"
36,"document_only","agent_3","persona_2"
36,"integrated","agent_4","persona_2"
36,"memory_only","agent_1","persona_2"
36,"document_only","agent_1","persona_3"
36,"document_only","agent_3","persona_3"
36,"integrated","agent_4","persona_3"
36,"memory_only","agent_1","persona_3"
37,"document_only","agent_2","persona_1"
37,"document_only","agent_3","persona_1"
37,"document_only","agent_4","persona_1"
37,"integrated","agent_3","persona_1"
37,"document_only","agent_2","persona_2"
